"","code","name","type","ug.etc.total","pg.etc.total","total.students","full.time.total","part.time.total","total.staff","total.by.total","ug.by.fulltime"
"671",758,"PACIFIC MEDICAL UNIVERSITY","State Private University ",1749,0,1749,56,14,70,24.9857142857143,31.2321428571429
"672",759,"G S F C UNIVERSITY","State Private University ",50,0,50,6,0,6,8.33333333333333,8.33333333333333
"673",761,"ABHILASHI UNIVERSITY","State Private University ",1478,0,1478,34,36,70,21.1142857142857,43.4705882352941
"674",762,"JHARKHAND RAI UNIVERSITY","State Private University ",275,0,275,2,2,4,68.75,137.5
"675",766,"THE WEST BENGAL UNIVERSITY OF TEARCHERS TRAINING, EDUCATION PLANNING AND ADMINISTRATION","State Public University ",987,269,1256,155,0,155,8.10322580645161,6.36774193548387
"676",768,"DIAMOND HARBOUR WOMENS UNIVERSITY","State Public University ",1400,0,1400,30,2,32,43.75,46.6666666666667
"677",770,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SENAPATI","Others",86,0,86,15,0,15,5.73333333333333,5.73333333333333
"678",771,"INSTITUTE OF ADVANCED RESEARCH, GANDHINAGAR","State Private University ",1807,0,1807,52,62,114,15.8508771929825,34.75
"679",772,"BANKURA UNIVERSITY, BANKURA","State Public University ",1746,0,1746,60,0,60,29.1,29.1
"680",772,"BANKURA UNIVERSITY, BANKURA","State Public University ",1698,0,1698,29,16,45,37.7333333333333,58.551724137931
"681",773,"IMS UNISON UNIVERSITY","State Private University ",385,4,389,29,13,42,9.26190476190476,13.2758620689655
"682",774,"DIT UNIVERSITY","State Private University ",1273,0,1273,26,21,47,27.0851063829787,48.9615384615385
"683",775,"GLS UNIVERSITY","State Private University ",1290,150,1440,9,1,10,144,143.333333333333
"684",778,"SEACOM SKILLS UNIVERSITY","State Private University ",246,25,271,9,42,51,5.31372549019608,27.3333333333333
"685",781,"TEAM LEASE SKILLS UNIVERSITY","State Private University ",209,0,209,14,4,18,11.6111111111111,14.9285714285714
"686",781,"TEAM LEASE SKILLS UNIVERSITY","State Private University ",939,0,939,11,0,11,85.3636363636364,85.3636363636364
"687",782,"SHRI GOVIND GURU UNIVERSITY","State Public University ",214,0,214,7,0,7,30.5714285714286,30.5714285714286
"688",783,"BHAKTA KAVI NARSINH MEHTA UNIVERSITY","State Public University ",458,0,458,8,0,8,57.25,57.25
"689",784,"PROFESSOR JAYASHANKAR TELANGANA STATE AGRICULTURAL UNIVERSITY","State Public University ",1288,26,1314,11,0,11,119.454545454545,117.090909090909
"690",785,"PANDIT DEENDAYAL UPADHYAYA SHEKHAWATI UNIVERSITY","State Public University ",140,0,140,8,26,34,4.11764705882353,17.5
"691",786,"A P J ABDUL KALAM TECHNOLOGICAL UNIVERSITY","State Public University ",362,0,362,4,13,17,21.2941176470588,90.5
"692",787,"COOCH BEHAR PANCHANAN BARMA UNIVERSITY","State Public University ",70,0,70,4,0,4,17.5,17.5
"693",788,"CHAUDHARY BANSI LAL UNIVERSITY","State Public University ",2644,0,2644,63,31,94,28.1276595744681,41.968253968254
"694",788,"CHAUDHARY BANSI LAL UNIVERSITY","State Public University ",968,0,968,19,1,20,48.4,50.9473684210526
"695",789,"GNA UNIVERSITY","State Private University ",172,0,172,8,0,8,21.5,21.5
"696",790,"RAI UNIVERSITY","State Private University ",621,0,621,27,0,27,23,23
"697",790,"RAI UNIVERSITY","State Private University ",33,0,33,1,3,4,8.25,33
"698",792,"JAYPEE UNIVERSITY, ANOOPSHAHR","State Private University ",174,0,174,8,0,8,21.75,21.75
"699",794,"AURO UNIVERSITY OF HOSPITALITY AND MANAGEMENT","State Private University ",45,0,45,6,0,6,7.5,7.5
"700",795,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, GUWAHATI","Others",459,0,459,27,15,42,10.9285714285714,17
"701",795,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, GUWAHATI","Others",1124,35,1159,13,6,19,61,86.4615384615385
"702",796,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KALYANI","Others",382,0,382,22,9,31,12.3225806451613,17.3636363636364
"703",797,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, UNA","Others",1058,139,1197,13,8,21,57,81.3846153846154
"704",797,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, UNA","Others",918,0,918,70,33,103,8.9126213592233,13.1142857142857
"705",798,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, VADODARA","Others",719,0,719,11,1,12,59.9166666666667,65.3636363636364
"706",798,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, VADODARA","Others",66,0,66,5,2,7,9.42857142857143,13.2
"707",801,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, LUCKNOW","Others",1464,0,1464,46,0,46,31.8260869565217,31.8260869565217
"708",810,"MAHARAJA CHHATRASAL BUNDELKHAND UNIVERSITY","State Public University ",323,0,323,7,0,7,46.1428571428571,46.1428571428571
"709",811,"MAHARAJA RANJIT SINGH STATE TECHNICAL UNIVERSITY","State Public University ",100,0,100,12,0,12,8.33333333333333,8.33333333333333
"710",812,"MAHAPURUSHA SRIMANTA SANKARADEVA VISWAVIDYALAYA","State Private University ",712,0,712,11,1,12,59.3333333333333,64.7272727272727
"711",813,"LNCT UNIVERSITY","State Private University ",100,0,100,16,0,16,6.25,6.25
"712",814,"RAJ RISHI BHARTRIHARI MATSYA UNIVERSITY","State Public University ",946,25,971,37,0,37,26.2432432432432,25.5675675675676
"713",815,"ASSAM WOMENS UNIVERSITY","State Public University ",604,0,604,19,2,21,28.7619047619048,31.7894736842105
"714",816,"PRATAP UNIVERSITY","State Private University ",920,0,920,17,0,17,54.1176470588235,54.1176470588235
"715",817,"GUJARAT UNIVERSITY OF TRANSPLANTATION SCIENCES","State Public University ",76,0,76,11,0,11,6.90909090909091,6.90909090909091
"716",818,"Manav Rachna University","State Private University ",1147,0,1147,13,4,17,67.4705882352941,88.2307692307692
"717",820,"SAI NATH UNIVERSITY","State Private University ",63,0,63,8,0,8,7.875,7.875
