"","code","name","type","admin.female.total","admin.total","fulltime.female.total","fulltime.total","part.female.total","part.total","admin.female.ratio","fulltime.female.ratio","part.female.ratio"
"492",555,"Graphic Era University, Dehradun","Deemed University-Private ",0,1,7,29,4,21,0,0.241379310344828,0.19047619047619
"493",556,"Gurukul Kangri Vishwavidyalaya, Haridwar","Deemed University-Government Aided ",0,1,10,22,10,20,0,0.454545454545455,0.5
"494",556,"Gurukul Kangri Vishwavidyalaya, Haridwar","Deemed University-Government Aided ",0,1,3,23,0,2,0,0.130434782608696,0
"495",557,"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal","Central University ",1,1,7,32,2,13,1,0.21875,0.153846153846154
"496",557,"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal","Central University ",0,1,10,26,4,12,0,0.384615384615385,0.333333333333333
"498",559,"Himgiri Zee University, Dehradun","State Private University ",0,1,6,38,6,20,0,0.157894736842105,0.3
"499",560,"Indian Institute of Technology, Roorkee","Institute of National Importance ",0,1,6,40,2,4,0,0.15,0.5
"501",561,"Institute of Chatertered Financial Analysts of India, Dehradun","State Private University ",0,1,9,37,1,3,0,0.243243243243243,0.333333333333333
"504",562,"Kumaun University, Nainital","State Public University ",0,1,9,13,1,3,0,0.692307692307692,0.333333333333333
"505",564,"University of Petroleum and Energy Studies, Dehradun","State Private University ",0,1,7,25,7,14,0,0.28,0.5
"506",564,"University of Petroleum and Energy Studies, Dehradun","State Private University ",1,1,1,1,6,6,1,1,1
"509",566,"Uttrakhand Technical University, Dehradun","State Public University ",0,1,26,50,14,27,0,0.52,0.518518518518518
"511",567,"Aliah University, Kolkata","State Public University ",0,1,3,7,1,3,0,0.428571428571429,0.333333333333333
"512",569,"Burdwan University, Burdwan","State Public University ",0,1,15,32,17,29,0,0.46875,0.586206896551724
"514",570,"Calcutta University, Kolkata","State Public University ",1,1,4,9,0,11,1,0.444444444444444,0
"519",575,"Jadavpur University, Kolkata","State Public University ",0,1,2,13,0,1,0,0.153846153846154,0
"522",579,"North Bengal University, Darjeeling","State Public University ",0,1,14,23,15,22,0,0.608695652173913,0.681818181818182
"524",582,"Ramakrishna Mission Vivekananda Educational  and Research Institute, Howrah","Deemed University-Private ",0,2,6,14,4,10,0,0.428571428571429,0.4
"525",584,"INDIAN INSTITUTE OF ENGINEERING SCIENCE AND TECHNOLOGY, SHIBPUR","Institute of National Importance ",1,1,12,14,46,48,1,0.857142857142857,0.958333333333333
"531",591,"West Bengal University of Animal and Fishery Sciences, Kolkata","State Public University ",0,1,6,42,2,27,0,0.142857142857143,0.0740740740740741
"534",595,"Rakshashakti University, Gujarat","State Public University ",1,1,14,37,6,16,1,0.378378378378378,0.375
"539",599,"Sri Sai University, Palampur","State Private University ",0,1,1,5,0,5,0,0.2,0
"541",600,"National University of Study & Research in Law, Ranchi","State Public University ",1,1,5,13,1,3,1,0.384615384615385,0.333333333333333
"549",614,"National Institute of Technology Sikkim","Institute of National Importance ",0,1,18,55,14,27,0,0.327272727272727,0.518518518518518
"551",616,"National Institute of Technology Uttarakhand","Institute of National Importance ",0,1,13,39,1,3,0,0.333333333333333,0.333333333333333
"557",621,"National Institute of Technology Puducherry","Institute of National Importance ",0,1,0,4,1,2,0,0,0.5
"563",629,"Raja Mansingh  Tomar Music & Arts University, Gwalior","State Public University ",1,1,8,13,7,16,1,0.615384615384615,0.4375
"566",631,"CENTRAL UNIVERSITY OF JAMMU","Central University ",0,1,10,18,3,4,0,0.555555555555556,0.75
"568",635,"ICFAI UNIVERSITY","State Private University ",1,1,7,17,0,2,1,0.411764705882353,0
"573",642,"SHIV NADAR UNIVERSITY","State Private University ",0,1,4,21,1,3,0,0.19047619047619,0.333333333333333
"574",642,"SHIV NADAR UNIVERSITY","State Private University ",0,2,16,29,4,11,0,0.551724137931034,0.363636363636364
"575",645,"GLOCAL UNIVERSITY","State Private University ",0,1,1,1,2,4,0,1,0.5
"577",648,"ITM UNIVERSITY, GWALIOR","State Private University ",0,1,2,6,0,1,0,0.333333333333333,0
"578",648,"ITM UNIVERSITY, GWALIOR","State Private University ",0,1,0,14,6,33,0,0,0.181818181818182
"582",653,"GURU KASHI UNIVERSITY","State Private University ",0,1,3,10,8,12,0,0.3,0.666666666666667
"583",654,"UTTARAKHAND UNIVERSITY OF HORTICULTURE AND FORESTRY, BHARSAR","State Public University ",1,1,7,11,4,11,1,0.636363636363636,0.363636363636364
"584",656,"AISECT UNIVERSITY","State Private University ",1,1,1,6,5,7,1,0.166666666666667,0.714285714285714
"586",657,"JK LAKSHMIPAT UNIVERSITY","State Private University ",0,1,12,17,1,2,0,0.705882352941177,0.5
"589",661,"SWAMI VIVEKANANDA UNIVERSITY","State Private University ",0,1,7,11,1,5,0,0.636363636363636,0.2
"590",662,"ORIENTAL UNIVERSITY","State Private University ",0,2,2,18,5,28,0,0.111111111111111,0.178571428571429
"591",663,"INDUS UNIVERSITY","State Private University ",1,1,4,7,0,2,1,0.571428571428571,0
"593",664,"INDIAN INSTITUTE OF TEACHER EDUCATION, GANDHINAGAR","State Public University ",0,1,5,7,2,5,0,0.714285714285714,0.4
"596",666,"BABA MASTNATH UNIVERSITY","State Private University ",0,1,7,39,2,2,0,0.179487179487179,1
"598",669,"SRIMANTA SANKARADEVA UNIVERSITY OF HEALTH SCIENCES, GUWAHATI","State Public University ",0,1,0,13,78,139,0,0,0.561151079136691
"602",674,"BODOLAND UNIVERSITY","State Public University ",1,1,1,1,1,7,1,1,0.142857142857143
"603",675,"COTTON COLLEGE STATE UNIVERSITY","State Public University ",0,1,11,22,8,10,0,0.5,0.8
"608",681,"UTTARAKHAND AYURVED UNIVERSITY","State Public University ",0,1,6,29,2,3,0,0.206896551724138,0.666666666666667
"609",681,"UTTARAKHAND AYURVED UNIVERSITY","State Public University ",0,1,11,21,4,4,0,0.523809523809524,1
"610",683,"ASSAM DOWN TOWN UNIVERSITY","State Private University ",0,1,2,16,3,20,0,0.125,0.15
"614",688,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHUBANESWAR","Institute of National Importance ",0,1,7,17,10,20,0,0.411764705882353,0.5
"615",690,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR","Institute of National Importance ",0,1,89,166,18,36,0,0.536144578313253,0.5
"617",693,"SANGAM UNIVERSITY, BHILWARA","State Private University ",1,1,0,2,1,8,1,0,0.125
"622",696,"IEC (INDIA EDUCATION CENTRE) UNIVERSITY","State Private University ",0,1,3,6,4,22,0,0.5,0.181818181818182
"624",697,"APG (ALAKH PRAKASH GOYAL) SHIMLA UNIVERSITY","State Private University ",0,1,4,27,1,27,0,0.148148148148148,0.037037037037037
"630",702,"SHREE GURU GOBIND SINGH TRICENTENARY UNIVERSITY, GURGAON","State Private University ",0,1,0,4,2,9,0,0,0.222222222222222
"631",703,"AGRICULTURE UNIVERSITY, JODHPUR","State Public University ",0,1,1,4,1,13,0,0.25,0.0769230769230769
"632",706,"KAMDHENU UNIVERSITY, GANDHINAGAR","State Public University ",0,1,0,4,1,16,0,0,0.0625
"633",708,"C.U.SHAH UNIVERSITY, SURENDRANAGAR","State Private University ",0,1,2,14,6,11,0,0.142857142857143,0.545454545454545
"636",710,"NALANDA UNIVERSITY","Central University ",1,1,4,6,1,1,1,0.666666666666667,1
"637",711,"KALINGA UNIVERSITY, RAIPUR","State Private University ",0,1,0,7,0,8,0,0,0
"638",711,"KALINGA UNIVERSITY, RAIPUR","State Private University ",0,1,8,28,7,10,0,0.285714285714286,0.7
"641",713,"ACADEMY OF SCIENTIFIC & INNOVATIVE RESEARCH","Institute of National Importance ",0,1,11,27,2,2,0,0.407407407407407,1
"643",715,"XAVIER UNIVERSITY, BHUBANESWAR","State Private University ",0,1,0,5,3,22,0,0,0.136363636363636
"644",715,"XAVIER UNIVERSITY, BHUBANESWAR","State Private University ",0,1,0,1,2,6,0,0,0.333333333333333
"645",716,"THUNCHATH EZHUTHACHAN MALAYALAM UNIVERSITY, TIRUR","State Public University ",0,1,7,20,0,1,0,0.35,0
"650",723,"CMR UNIVERSITY, BANGALORE","State Private University ",0,4,1,9,1,13,0,0.111111111111111,0.0769230769230769
"654",728,"SRI SATYA SAI UNIVERSITY OF TECHNOLOGY & MEDICAL SCIENCES, SEHORE","State Private University ",0,1,5,12,3,4,0,0.416666666666667,0.75
"661",746,"GEETANJALI UNIVERSITY","State Private University ",0,1,3,9,0,1,0,0.333333333333333,0
"664",750,"UTTARANCHAL UNIVERSITY, DEHRADUN","State Private University ",0,1,2,17,1,3,0,0.117647058823529,0.333333333333333
"673",761,"ABHILASHI UNIVERSITY","State Private University ",0,1,10,34,8,36,0,0.294117647058824,0.222222222222222
"674",762,"JHARKHAND RAI UNIVERSITY","State Private University ",1,1,0,2,1,2,1,0,0.5
"676",768,"DIAMOND HARBOUR WOMENS UNIVERSITY","State Public University ",1,2,18,30,2,2,0.5,0.6,1
"678",771,"INSTITUTE OF ADVANCED RESEARCH, GANDHINAGAR","State Private University ",0,1,10,52,5,62,0,0.192307692307692,0.0806451612903226
"681",773,"IMS UNISON UNIVERSITY","State Private University ",0,1,14,29,4,13,0,0.482758620689655,0.307692307692308
"682",774,"DIT UNIVERSITY","State Private University ",0,1,12,26,8,21,0,0.461538461538462,0.380952380952381
"685",781,"TEAM LEASE SKILLS UNIVERSITY","State Private University ",1,1,13,14,2,4,1,0.928571428571429,0.5
"690",785,"PANDIT DEENDAYAL UPADHYAYA SHEKHAWATI UNIVERSITY","State Public University ",0,2,7,8,16,26,0,0.875,0.615384615384615
"691",786,"A P J ABDUL KALAM TECHNOLOGICAL UNIVERSITY","State Public University ",0,1,0,4,5,13,0,0,0.384615384615385
"693",788,"CHAUDHARY BANSI LAL UNIVERSITY","State Public University ",1,1,13,63,6,31,1,0.206349206349206,0.193548387096774
"694",788,"CHAUDHARY BANSI LAL UNIVERSITY","State Public University ",0,1,6,19,0,1,0,0.315789473684211,0
"700",795,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, GUWAHATI","Others",0,1,12,27,11,15,0,0.444444444444444,0.733333333333333
"701",795,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, GUWAHATI","Others",1,1,6,13,5,6,1,0.461538461538462,0.833333333333333
"702",796,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KALYANI","Others",0,1,10,22,5,9,0,0.454545454545455,0.555555555555556
"703",797,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, UNA","Others",0,1,3,13,5,8,0,0.230769230769231,0.625
"704",797,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, UNA","Others",0,1,33,70,25,33,0,0.471428571428571,0.757575757575758
"705",798,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, VADODARA","Others",0,1,2,11,0,1,0,0.181818181818182,0
"706",798,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, VADODARA","Others",0,1,2,5,2,2,0,0.4,1
"710",812,"MAHAPURUSHA SRIMANTA SANKARADEVA VISWAVIDYALAYA","State Private University ",0,1,5,11,0,1,0,0.454545454545455,0
"716",818,"Manav Rachna University","State Private University ",0,2,6,13,3,4,0,0.461538461538462,0.75
